User		Http Response Code		Time Elapsed
8		200		1475
8		200		1475
8		200		1083
8		200		1308
8		200		1693
10		200		1023
10		200		853
10		200		924
10		200		883
10		200		889
10		200		890
10		200		918
10		200		1053
10		200		827
10		200		862
10		200		851
10		200		830
10		200		903
10		200		943
10		200		1060
10		200		1215
10		200		938
10		200		987
10		200		4260
10		200		1013
10		200		988
10		200		4544
10		200		1210
10		200		1197
10		200		1424
10		200		1479
10		200		1449
10		200		1710
10		200		1607
10		200		1186
10		200		1503
10		200		1198
10		200		1140
10		200		4813
10		200		5039
10		200		5247
10		200		5013
10		200		1218
10		200		7019
10		200		925
User- 10 --> Server Refused Connection org.apache.http.conn.HttpHostConnectException: Connection to http://lvqc2r001:10081 refused
10		200		928
10		200		8021
10		200		858
10		200		875
10		200		904
10		200		929
10		200		845
10		200		4195
10		200		4214
10		200		1093
10		200		1042
10		200		11386
10		200		835
10		200		929
10		200		897
10		200		778
10		200		770
10		200		866
10		200		11781
10		200		4166
10		200		808
10		200		921
10		200		4405
10		200		853
10		200		891
10		200		1008
10		200		4251
10		200		1131
10		200		1208
10		200		1158
10		200		926
10		200		876
10		200		932
10		200		1302
10		200		1130
10		200		920
10		200		922
10		200		934
10		200		1078
10		200		1124
10		200		1102
10		200		2109
10		200		2195
10		200		1822
10		200		1917
10		200		2114
10		200		2171
10		200		2150
10		200		9182
10		200		1788
10		200		1501
10		200		1498
10		200		1784
10		200		1507
10		200		1575
10		200		1291
10		200		1503
10		200		5357
10		200		1501
10		200		1500
10		200		1504
10		200		1788
10		200		1504
10		200		933
10		200		1223
10		200		1221
10		200		897
10		200		4859
10		200		4919
10		200		895
10		200		4940
10		200		4940
10		200		4662
10		200		924
User- 10 --> Server Refused Connection org.apache.http.conn.HttpHostConnectException: Connection to http://lvqc2r001:10081 refused
10		200		928
10		200		954
10		200		1020
10		200		1217
10		200		1283
10		200		1284
10		200		1218
10		200		4668
10		200		1538
10		200		1512
10		200		1791
10		200		2112
10		200		1510
10		200		1727
10		200		1792
10		200		1797
10		200		5267
10		200		2140
10		200		2428
10		200		2146
10		200		2425
10		200		2139
10		200		2365
10		200		3290
10		200		5367
10		200		2511
10		200		2041
10		200		2041
10		200		4973
10		200		1113
10		200		1036
10		200		963
10		200		1217
10		200		5227
10		200		5810
10		200		5389
10		200		1244
10		200		1412
10		200		5514
10		200		5799
10		200		2072
10		200		1755
10		200		2358
10		200		2327
10		200		2322
10		200		2455
10		200		2332
10		200		2210
10		200		2369
10		200		2621
10		200		2648
10		200		2971
10		200		3273
10		200		3561
10		200		3556
10		200		3513
10		200		3267
10		200		3261
10		200		3227
10		200		2939
10		200		6710
10		200		6617
10		200		6310
10		200		3218
10		200		3132
10		200		3224
10		200		3717
10		200		3806
10		200		3812
10		200		6668
10		200		6668
10		200		4039
10		200		4077
10		200		4468
10		200		5526
10		200		4970
10		200		4742
10		200		4939
10		200		4664
10		200		4820
10		200		4879
